,difference,normalized difference,std,-log(p),electrode A,electrode B,drowsiness,seperation,chunk,atom,participant
123044,-0.007606052838835037,-0.3952864194861713,0.003708295441777265,0.2061643383126349,83,48,light drowsy,close range,post2,sts,30
123045,0.012261674681783404,-0.6013540590921196,0.0027564109687083717,0.4927811234837076,1,44,light drowsy,long range,post2,sts,1
123046,-0.00843659266603089,0.4137590807364808,0.0004626938002970785,0.7755827393825079,1,44,light drowsy,long range,post2,sts,2
123047,0.0025732830081395303,-0.12620251493349974,0.002069210926518257,0.07140576861797282,1,44,light drowsy,long range,post2,sts,3
123048,-0.007979702837347316,0.39135165596236265,0.0007746711786680136,0.6214675161571382,1,44,light drowsy,long range,post2,sts,4
123049,0.038607612331397874,-1.8934480802881888,0.0077460359978378185,0.7013475342702717,1,44,light drowsy,long range,post2,sts,5
123050,0.0038880635062373274,-0.19068380397967705,0.0004141660764450901,0.32946370541858033,1,44,light drowsy,long range,post2,sts,6
123051,-0.01285341798538787,0.6303751550515312,0.0009495023448810623,1.010820805773197,1,44,light drowsy,long range,post2,sts,7
123052,-0.00048318546014973826,0.023697051609680882,0.0012595481042419726,0.021677369023908908,1,44,light drowsy,long range,post2,sts,8
123053,0.010981652468542038,-0.5385774340684308,0.001893926973035468,0.4160899675771604,1,44,light drowsy,long range,post2,sts,9
123054,-0.012279276898887031,0.6022173314410437,0.009422163159416113,0.19033290779945866,1,44,light drowsy,long range,post2,sts,10
123055,,,,,1,44,light drowsy,long range,post2,sts,11
123056,-0.0043156899081393035,0.21165605118345865,0.0003199536040343815,0.5197660409559295,1,44,light drowsy,long range,post2,sts,12
123057,0.027905856277936715,-1.3685977144793886,0.0018327421956880017,1.7271908850367428,1,44,light drowsy,long range,post2,sts,13
123058,-0.005079131141694013,0.24909779520220024,0.0008811303090205193,0.31933638058444525,1,44,light drowsy,long range,post2,sts,14
123059,-0.02399861970327806,1.1769735982813858,0.002749973733222865,1.6866355213002766,1,44,light drowsy,long range,post2,sts,15
123060,-0.004049732936324449,0.19861262043722308,0.0024247780290457435,0.11550409340542934,1,44,light drowsy,long range,post2,sts,16
123061,0.00021102005203587837,-0.010349138118150516,0.001134014333343745,0.009961858381624984,1,44,light drowsy,long range,post2,sts,17
123062,0.0038289647471993656,-0.1877854006573654,0.0012846864878181404,0.1880298858414328,1,44,light drowsy,long range,post2,sts,18
123063,0.0016912367803473985,-0.0829439802589733,0.0010745484287360083,0.07460758527469706,1,44,light drowsy,long range,post2,sts,19
123064,0.0005843556257262815,-0.028658779212751437,0.00023538439372827583,0.0588246678112581,1,44,light drowsy,long range,post2,sts,20
123065,0.0016235140344560313,-0.07962262741023547,0.0004044306156467029,0.12618720181635634,1,44,light drowsy,long range,post2,sts,21
123066,0.0030296820395882586,-0.14858586934879456,0.00029626666630989766,0.3376642045072193,1,44,light drowsy,long range,post2,sts,22
123067,-0.004438075839249888,0.21765827179027825,0.0005816751542634289,0.3281689456469909,1,44,light drowsy,long range,post2,sts,23
123068,0.001356555035836194,-0.06653005387542225,0.00037646264869253246,0.09818577648333478,1,44,light drowsy,long range,post2,sts,24
123069,-0.009343372070815186,0.4582306141868253,0.0005211027680294337,0.9107368742706984,1,44,light drowsy,long range,post2,sts,25
123070,-0.010488229799126156,0.5143783150409024,0.0007458446578814443,1.14345998075514,1,44,light drowsy,long range,post2,sts,26
123071,-0.0046560163935585866,0.22834681478098665,0.0006537447855670119,0.3498787856823113,1,44,light drowsy,long range,post2,sts,27
123072,0.003110956082398886,-0.15257182369935388,0.000543585985682383,0.20764169806943253,1,44,light drowsy,long range,post2,sts,28
123073,0.0042954500375456854,-0.21066341937313549,0.0008220863769715237,0.267846748622447,1,44,light drowsy,long range,post2,sts,29
123074,0.02118533343147845,-1.0390005103598614,0.004935781646764681,0.515390999654995,1,44,light drowsy,long range,post2,sts,30
