,Weight vectors,Accuracy,Strategy,Time period,Drowsiness
82,"[[  -4.83006822 -104.35679523  -23.55678838 -466.06078784  118.94112409
   -19.48305426   13.51351998  -16.89816989   -4.83006822 -104.35679523
    20.23400461 -158.24424493  452.65482122  226.82722264 -139.21658288
   -11.94384785]]",0.5568862275449101,PhiID prediction,pre1,awake
83,"[[  -3.90232016 -146.7632577  -250.69325417 -462.3531465   444.39366651
   -22.21990121   13.09032134  -44.62504472   -3.90232016 -146.7632577
    22.70442245 -286.96141294  430.62217232   49.65212413  191.55058507
   -28.38492008]]",0.5158254918733961,PhiID prediction,pre1,awake
84,"[[  -4.12948448  -37.50936481  128.69041519   -2.69574824 -160.66903155
   -14.66367842   29.58675032   85.57233439   -4.12948448  -37.50936481
    15.78434085  -76.93379426  -17.64575215  -20.24495196 -100.37920801
   -19.28529216]]",0.5286569717707442,PhiID prediction,pre1,awake
85,"[[  -3.13598252 -109.56865673  189.00981618 -212.91873165  -56.48021066
   -24.46914465   22.18174842  -55.90231944   -3.13598252 -109.56865673
    24.94116206 -464.99208461  190.74347989  300.04441074  132.19879042
   -19.56953315]]",0.5380667236954663,PhiID prediction,pre1,awake
86,"[[  -5.39619541  -82.2225086    65.89617803 -528.31618603   30.55439121
   -17.35759124   47.96408709 -212.54962957   -5.39619541  -82.2225086
    18.23135733 -567.24989359  487.66568157  343.89994724  354.69701798
   -19.04739366]]",0.5372112917023096,PhiID prediction,pre1,awake
87,"[[  -1.76962689  -67.92531311    6.55688265 -211.47116097   60.94492085
   -26.87446034   30.54906981   71.36861112   -1.76962689  -67.92531311
    27.42721106 -160.99716679  199.5095043   151.72727884 -144.22012931
   -16.12144582]]",0.5517536355859709,PhiID prediction,pre1,awake
88,"[[  -1.73072699  -79.39704735  298.97033662 -372.71796103 -231.41953046
   -13.1989615    14.39827475 -127.63635512   -1.73072699  -79.39704735
    14.52477227 -449.57736064  360.93328554  255.72071395  229.50828272
   -13.55819059]]",0.5654405474764757,PhiID prediction,pre1,awake
89,"[[  -5.9104161   -36.46510615 -204.53146536 -403.21023897  148.40477983
   -13.61324104   -3.9186536  -289.12119354   -5.91041611  -36.46510615
    13.8641139  -476.897271    372.48480293  444.40406532  229.77757024
   -21.06168168]]",0.5406330196749358,PhiID prediction,pre1,awake
90,"[[  -2.34908902  -96.77066134  324.78310234 -357.46326473 -149.65609895
   -24.86562493   72.4800177   180.2957556    -2.34908902  -96.77066134
    26.28121906 -585.69030207  338.79272105  302.72138749   27.26680377
   -13.44089235]]",0.5517536355859709,PhiID prediction,pre1,awake
91,"[[  -5.48146589  -72.84353161 -194.76474085 -467.58543541  219.23646815
   -22.04861326   16.42289539 -114.27157547   -5.4814659   -72.84353161
    22.51628586 -303.37741543  445.02706106  311.91866519    2.40953304
   -15.32030171]]",0.5406330196749358,PhiID prediction,pre1,awake
92,"[[  -5.60907579  -78.0150758    77.49104496 -645.40337467  -17.978158
   -22.62375897   39.79377112 -183.64634752   -5.60907578  -78.0150758
    24.11411417 -563.82071927  604.63195926  583.59356162   50.62583206
   -20.92533205]]",0.5218135158254918,PhiID prediction,pre1,awake
93,"[[  -0.90320398  -25.39646775  153.54175195 -311.81008266 -133.9243237
   -24.22434205   61.6472705  -101.99008493   -0.90320398  -25.39646775
    25.11271999 -350.84693356  285.15776995  336.66097662   29.18082376
   -16.98636832]]",0.5508982035928144,PhiID prediction,pre1,awake
94,"[[  -5.75114075  -56.80611898  323.52303176  -58.06851366 -309.95389327
   -19.177602     20.09609527  -51.37093203   -5.75114075  -56.80611898
    20.26575816 -271.34502824   31.09231805  185.13242248   55.12322943
   -20.65165595]]",0.5474764756201882,PhiID prediction,pre1,awake
95,"[[  -4.58372264  -95.97860801 -114.69994204 -574.12649589  220.60736586
   -21.05861384   31.01045605   -5.85545007   -4.58372264  -95.97860801
    21.57235438 -328.37845068  549.96313709   92.88311565  155.69154141
   -13.89918445]]",0.5363558597091531,PhiID prediction,pre1,awake
