,Weight vectors,Accuracy,Strategy,Time period,Drowsiness
50,"[[-3.25548272e+00  7.11057069e+02 -2.34475327e+03  7.91609236e+03
   1.60488900e+03 -3.15283834e+00 -2.60709771e+02  1.11555023e+02
  -3.25548272e+00  7.11057069e+02  3.17090629e+00 -9.90877557e+02
  -7.37440212e+03  6.45683196e+02 -6.11888527e+01 -5.19372077e+02]]",0.5397775876817793,PhiID prediction,pre1,awake
51,"[[-4.71514805e+00  8.11922620e+02 -9.14404783e+02  2.05571297e+04
   4.51615786e+01 -1.47761037e+00 -2.07515597e+02 -9.69644251e+02
  -4.71514805e+00  8.11922620e+02  1.64660438e+00 -1.90199577e+03
  -1.93061044e+04  1.37598119e+03  1.19172718e+03 -5.83466375e+02]]",0.5517536355859709,PhiID prediction,pre1,awake
52,"[[-4.70998327e+00  2.98626402e+02 -6.79461619e+02  1.17887166e+04
   7.39391724e+02 -4.30378400e+00 -3.47335068e+02 -1.83103425e+02
  -4.70998327e+00  2.98626402e+02  4.53245435e+00 -1.27368604e+03
  -1.09453190e+04  1.04859364e+03  1.09130171e+02 -4.24415413e+02]]",0.5389221556886228,PhiID prediction,pre1,awake
53,"[[-2.65541208e+00  4.67272536e+02  7.39501479e+01  2.20459349e+04
  -5.58085629e+02 -3.97721350e+00 -4.04297997e+02 -1.12925446e+03
  -2.65541207e+00  4.67272536e+02  4.15558328e+00 -1.75822376e+03
  -2.11893131e+04  1.60341723e+03  9.85898136e+02 -5.48673300e+02]]",0.5320786997433704,PhiID prediction,pre1,awake
54,"[[-3.13205478e+00  6.31283626e+02 -5.27273619e+02  1.18946743e+04
  -3.69176508e+02 -2.87079286e+00 -5.36055435e+02 -6.15846248e+02
  -3.13205478e+00  6.31283626e+02  3.01026343e+00 -1.14962713e+03
  -1.14307512e+04  1.14418379e+03  3.48074617e+02 -4.42659686e+02]]",0.5474764756201882,PhiID prediction,pre1,awake
55,"[[-4.64248066e+00  5.74021612e+02 -2.26022534e+01  1.84237020e+04
  -6.10190780e+02 -5.56483442e+00 -4.95763927e+02 -2.06265684e+02
  -4.64248066e+00  5.74021612e+02  5.72809799e+00 -7.84770232e+02
  -1.74067058e+04  7.08886696e+02 -1.28410835e+01 -5.09579880e+02]]",0.5483319076133447,PhiID prediction,pre1,awake
56,"[[-3.51389773e+00  6.03594426e+02 -1.55614259e+03  2.10387191e+04
   8.80395053e+02 -3.05672162e+00 -4.61168122e+02 -5.77631031e+02
  -3.51389773e+00  6.03594426e+02  3.28803976e+00 -2.10802601e+03
  -1.98697744e+04  1.57408858e+03  8.04187493e+02 -5.59331393e+02]]",0.5192472198460223,PhiID prediction,pre1,awake
57,"[[-3.51217770e+00  6.61735876e+02 -2.10784973e+03  1.89220180e+04
   1.24481335e+03 -2.98166375e+00 -3.87778342e+02 -4.44584501e+02
  -3.51217770e+00  6.61735876e+02  3.32316131e+00 -1.98967572e+03
  -1.77477585e+04  1.41329525e+03  7.71598866e+02 -6.10760562e+02]]",0.5372112917023096,PhiID prediction,pre1,awake
58,"[[-7.06069935e-01  2.53452237e+01  6.33179797e+02  9.33571382e+03
  -3.11588222e+02 -3.85424207e+00 -5.95839394e+02 -2.89129618e+02
  -7.06069935e-01  2.53452237e+01  4.13302577e+00 -7.98960016e+02
  -8.80630034e+03  6.58283981e+02  9.18303060e+01 -3.22421105e+02]]",0.5363558597091531,PhiID prediction,pre1,awake
59,"[[-2.12532261e+00  4.76135796e+02 -3.19654612e+03  1.93558165e+03
   2.61992179e+03 -3.22427431e+00 -4.99080918e+02 -3.81523404e+02
  -2.12532261e+00  4.76135796e+02  3.44279701e+00 -1.37463276e+03
  -1.34354728e+03  1.50911870e+03 -2.16671508e+01 -3.89463768e+02]]",0.5517536355859709,PhiID prediction,pre1,awake
60,"[[-1.60178756e+00  6.27863375e+02 -5.37870933e+02  7.42605787e+03
  -5.94727467e+02 -3.15222670e+00 -6.59457346e+02  4.38553410e+02
  -1.60178756e+00  6.27863375e+02  3.51528039e+00 -9.23766153e+02
  -5.97019199e+03  1.52944434e+02  6.42869068e+01 -5.60348022e+02]]",0.5739948674080411,PhiID prediction,pre1,awake
61,"[[-6.59582404e+00  6.24449644e+02  3.84702636e+02  2.55708323e+04
  -7.98564675e+02 -3.08629401e+00 -2.31934027e+02 -7.15930218e+02
  -6.59582404e+00  6.24449645e+02  3.26251630e+00 -1.94323579e+03
  -2.47471985e+04  1.39120447e+03  9.78038276e+02 -5.77087184e+02]]",0.5449101796407185,PhiID prediction,pre1,awake
62,"[[-2.80626229e+00  6.43885244e+02 -3.78518425e+03  3.71504087e+03
   3.27836183e+03 -2.78980764e+00 -1.64480883e+02 -1.48197486e+02
  -2.80626228e+00  6.43885244e+02  2.89188543e+00 -1.62010461e+03
  -3.43267028e+03  1.33300500e+03  1.26117719e+02 -3.89174913e+02]]",0.5551753635585971,PhiID prediction,pre1,awake
63,"[[-4.29305427e+00  9.11087165e+02 -9.80064062e+02  2.14721855e+04
  -2.71220660e+02 -3.13294598e+00 -3.86630281e+02 -1.49747285e+02
  -4.29305427e+00  9.11087165e+02  3.31299515e+00 -1.69349287e+03
  -2.08852117e+04  8.60204946e+02  7.11638688e+02 -3.76206345e+02]]",0.5543199315654406,PhiID prediction,pre1,awake
64,"[[-5.36794989e+00  4.90354068e+02 -9.46926553e+02  1.37597721e+04
   8.82789468e+02 -1.05720146e+00 -9.46177873e+01 -6.58845761e+02
  -5.36794989e+00  4.90354068e+02  1.28825047e+00 -1.09326731e+03
  -1.36193024e+04  1.16316754e+03  3.17065314e+02 -3.06233832e+02]]",0.5363558597091531,PhiID prediction,pre1,awake
65,"[[-5.63749511e+00  9.00274521e+02  9.03873269e+02  2.33384381e+04
  -2.03291847e+03 -3.30070530e+00 -3.28312978e+02 -4.06620492e+02
  -5.63749511e+00  9.00274521e+02  3.55796501e+00 -2.02419989e+03
  -2.16588113e+04  1.19447145e+03  9.29821153e+02 -7.02814663e+02]]",0.5218135158254918,PhiID prediction,pre1,awake
66,"[[-5.89968523e+00  3.72613993e+02 -1.36505275e+03  6.59287111e+03
   1.51991110e+03 -2.89837164e+00 -3.62234897e+01 -2.57353438e+02
  -5.89968523e+00  3.72613993e+02  3.00142868e+00 -1.62327677e+03
  -5.91693003e+03  1.55667071e+03  5.86318648e+01 -4.86384491e+02]]",0.5585970915312233,PhiID prediction,pre1,awake
67,"[[-4.84383723e+00  7.28333940e+02 -6.33276953e+01  1.89489021e+04
  -4.93262390e+02 -4.43238414e+00 -8.08892816e+01 -1.06704813e+03
  -4.84383724e+00  7.28333940e+02  4.80267238e+00 -2.20206674e+03
  -1.79787361e+04  1.56994005e+03  1.37965824e+03 -6.53764295e+02]]",0.5406330196749358,PhiID prediction,pre1,awake
68,"[[-4.89446126e+00  5.60256908e+02 -1.07675216e+03  7.82889939e+03
   7.59166841e+02 -3.37452834e+00 -1.93305173e+02  1.07954673e+02
  -4.89446126e+00  5.60256908e+02  3.64401308e+00 -1.25456125e+03
  -6.69321263e+03  9.14970640e+02 -1.01458556e+02 -6.15222586e+02]]",0.5414884516680923,PhiID prediction,pre1,awake
69,"[[-8.28426031e-01  4.01560964e+02  2.12637567e+02  1.01385405e+04
  -7.10618523e+02 -3.26958011e+00 -4.53523325e+02 -1.59536054e+02
  -8.28426033e-01  4.01560964e+02  3.33288507e+00 -5.48206986e+02
  -9.74146942e+03  8.05621301e+02 -3.58913824e+02 -4.75816941e+02]]",0.5491873396065012,PhiID prediction,pre1,awake
70,"[[-5.32229470e+00  4.36406898e+02  7.58886886e+02  1.95231147e+04
  -6.02007872e+02 -3.34061171e+00  2.02430747e+02 -1.20015570e+03
  -5.32229470e+00  4.36406898e+02  3.32556376e+00 -1.16578774e+03
  -1.93732553e+04  1.44141090e+03  7.00736811e+02 -3.53177232e+02]]",0.5209580838323353,PhiID prediction,pre1,awake
71,"[[ 2.92423673e-02  7.41902646e+02 -4.15083632e+02  1.86434684e+04
  -8.24790060e+02 -3.03452261e+00 -6.17379206e+02  2.42649244e+02
   2.92423683e-02  7.41902646e+02  3.06099910e+00 -1.03959455e+03
  -1.91013202e+04  3.77989719e+02  1.49718508e+02 -1.51930144e+02]]",0.5380667236954663,PhiID prediction,pre1,awake
72,"[[-3.46982506e+00  4.55763721e+02 -1.45082972e+03  1.02056580e+04
   1.22976055e+03 -2.30311902e+00 -2.23730760e+02 -6.32680327e+02
  -3.46982506e+00  4.55763721e+02  2.35360358e+00 -1.64462769e+03
  -9.56548005e+03  1.34749458e+03  6.27396031e+02 -5.67132770e+02]]",0.553464499572284,PhiID prediction,pre1,awake
73,"[[-6.53022681e+00  6.93812780e+02 -8.04576944e+02  1.40762854e+04
   2.64701245e+02 -4.17862519e+00 -1.69564703e+02 -1.00066099e+02
  -6.53022681e+00  6.93812780e+02  4.41298615e+00 -6.82865990e+02
  -1.31503490e+04  5.81636817e+02 -7.21523940e+01 -4.57106260e+02]]",0.5406330196749358,PhiID prediction,pre1,awake
