,Accuracy,Strategy,Time period,Drowsiness
371,0.5782720273738238,PhiID prediction,pre1,awake
372,0.5260906757912746,PhiID prediction,pre1,awake
373,0.5363558597091531,PhiID prediction,pre1,awake
374,0.5603079555175363,PhiID prediction,pre1,awake
375,0.5055603079555175,PhiID prediction,pre1,awake
376,0.5414884516680923,PhiID prediction,pre1,awake
377,0.523524379811805,PhiID prediction,pre1,awake
378,0.525235243798118,PhiID prediction,pre1,awake
379,0.5295124037639007,PhiID prediction,pre1,awake
380,0.5637296834901625,PhiID prediction,pre1,awake
381,0.562874251497006,PhiID prediction,pre1,awake
382,0.5543199315654406,PhiID prediction,pre1,awake
383,0.5431993156544055,PhiID prediction,pre1,awake
384,0.5577416595380668,PhiID prediction,pre1,awake
385,0.5012831479897348,PhiID prediction,pre1,awake
386,0.5474764756201882,PhiID prediction,pre1,awake
387,0.5355004277159966,PhiID prediction,pre1,awake
388,0.561163387510693,PhiID prediction,pre1,awake
389,0.5260906757912746,PhiID prediction,pre1,awake
390,0.5500427715996579,PhiID prediction,pre1,awake
391,0.5346449957228401,PhiID prediction,pre1,awake
392,0.5166809238665526,PhiID prediction,pre1,awake
393,0.5491873396065012,PhiID prediction,pre1,awake
394,0.544054747647562,PhiID prediction,pre1,awake
395,0.5457656116338752,PhiID prediction,pre1,awake
396,0.5260906757912746,PhiID prediction,pre1,awake
397,0.525235243798118,PhiID prediction,pre1,awake
398,0.5508982035928144,PhiID prediction,pre1,awake
399,0.5517536355859709,PhiID prediction,pre1,awake
400,0.5295124037639007,PhiID prediction,pre1,awake
401,0.5431993156544055,PhiID prediction,pre1,awake
402,0.5449101796407185,PhiID prediction,pre1,awake
403,0.5363558597091531,PhiID prediction,pre1,awake
404,0.5355004277159966,PhiID prediction,pre1,awake
405,0.5457656116338752,PhiID prediction,pre1,awake
406,0.5526090675791274,PhiID prediction,pre1,awake
407,0.523524379811805,PhiID prediction,pre1,awake
408,0.5286569717707442,PhiID prediction,pre1,awake
409,0.5560307955517536,PhiID prediction,pre1,awake
410,0.5466210436270317,PhiID prediction,pre1,awake
411,0.5337895637296834,PhiID prediction,pre1,awake
412,0.544054747647562,PhiID prediction,pre1,awake
413,0.5594525235243798,PhiID prediction,pre1,awake
414,0.5603079555175363,PhiID prediction,pre1,awake
415,0.5278015397775877,PhiID prediction,pre1,awake
416,0.5320786997433704,PhiID prediction,pre1,awake
417,0.5380667236954663,PhiID prediction,pre1,awake
418,0.5414884516680923,PhiID prediction,pre1,awake
419,0.5355004277159966,PhiID prediction,pre1,awake
420,0.5337895637296834,PhiID prediction,pre1,awake
421,0.5278015397775877,PhiID prediction,pre1,awake
422,0.542343883661249,PhiID prediction,pre1,awake
423,0.5389221556886228,PhiID prediction,pre1,awake
424,0.5355004277159966,PhiID prediction,pre1,awake
425,0.5218135158254918,PhiID prediction,pre1,awake
426,0.5278015397775877,PhiID prediction,pre1,awake
427,0.5149700598802395,PhiID prediction,pre1,awake
428,0.5397775876817793,PhiID prediction,pre1,awake
429,0.5431993156544055,PhiID prediction,pre1,awake
430,0.5372112917023096,PhiID prediction,pre1,awake
431,0.5483319076133447,PhiID prediction,pre1,awake
432,0.5389221556886228,PhiID prediction,pre1,awake
433,0.5329341317365269,PhiID prediction,pre1,awake
434,0.5278015397775877,PhiID prediction,pre1,awake
435,0.5295124037639007,PhiID prediction,pre1,awake
436,0.5209580838323353,PhiID prediction,pre1,awake
437,0.5457656116338752,PhiID prediction,pre1,awake
438,0.5355004277159966,PhiID prediction,pre1,awake
439,0.5585970915312233,PhiID prediction,pre1,awake
440,0.5260906757912746,PhiID prediction,pre1,awake
441,0.5355004277159966,PhiID prediction,pre1,awake
442,0.5585970915312233,PhiID prediction,pre1,awake
443,0.5491873396065012,PhiID prediction,pre1,awake
444,0.5218135158254918,PhiID prediction,pre1,awake
445,0.5406330196749358,PhiID prediction,pre1,awake
446,0.5457656116338752,PhiID prediction,pre1,awake
447,0.5397775876817793,PhiID prediction,pre1,awake
448,0.5115483319076134,PhiID prediction,pre1,awake
449,0.5620188195038495,PhiID prediction,pre1,awake
450,0.5457656116338752,PhiID prediction,pre1,awake
451,0.5372112917023096,PhiID prediction,pre1,awake
452,0.5355004277159966,PhiID prediction,pre1,awake
453,0.5483319076133447,PhiID prediction,pre1,awake
454,0.5491873396065012,PhiID prediction,pre1,awake
455,0.5526090675791274,PhiID prediction,pre1,awake
456,0.544054747647562,PhiID prediction,pre1,awake
457,0.5269461077844312,PhiID prediction,pre1,awake
458,0.5175363558597091,PhiID prediction,pre1,awake
459,0.5680068434559452,PhiID prediction,pre1,awake
460,0.5397775876817793,PhiID prediction,pre1,awake
461,0.5414884516680923,PhiID prediction,pre1,awake
462,0.5483319076133447,PhiID prediction,pre1,awake
463,0.564585115483319,PhiID prediction,pre1,awake
464,0.5474764756201882,PhiID prediction,pre1,awake
465,0.5431993156544055,PhiID prediction,pre1,awake
466,0.5269461077844312,PhiID prediction,pre1,awake
467,0.5295124037639007,PhiID prediction,pre1,awake
468,0.5320786997433704,PhiID prediction,pre1,awake
469,0.5414884516680923,PhiID prediction,pre1,awake
